РВСВ_1,РВСН_1,РВЛВ_0,РВЛВ_1,РВЛВ_3,РВЛВ_4,РВЛВ_6,РВЛВ_7,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_12
597.9083,1196.951,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,473.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,723.9163,1321.951,1321.951,1321.951
547.8831,1095.892,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
547.8831,1095.892,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,537.9284,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
546.875,1094.884,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
546.875,1094.884,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
546.875,1094.884,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
546.875,1094.884,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
546.875,1094.884,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,536.9203,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,627.8982,1125.0,1125.0,1125.0
545.9929,1092.994,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,626.8901,1122.984,1122.984,1122.984
545.9929,1091.986,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,535.9123,1121.976,1121.976,625.8821,1121.976,1121.976,625.8821,1121.976,1121.976,625.8821,1121.976,1121.976,1121.976
550.9072,1101.941,540.9526,540.9526,540.9526,540.9526,540.9526,540.9526,540.9526,540.9526,540.9526,1101.941,1101.941,600.9324,1101.941,1101.941,600.9324,1101.941,1101.941,600.9324,1101.941,1101.941,1101.941
551.9153,1103.957,531.8801,531.8801,531.8801,531.8801,531.8801,531.8801,531.8801,531.8801,531.8801,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,1103.957
551.9153,1103.957,500.882,500.882,500.882,500.882,500.882,500.882,500.882,500.882,500.882,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,1103.957
551.9153,1104.965,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,1129.914
552.9234,1106.981,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,1131.93,1131.93,627.8982,1131.93,1131.93,627.8982,1131.93,1131.93,627.8982,1131.93,1131.93,1131.93
553.9315,1107.989,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,502.8982,1132.938,1132.938,627.8982,1132.938,1132.938,627.8982,1132.938,1132.938,627.8982,1132.938,1132.938,1132.938
599.9244,1199.975,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,599.9244,1375.0,1375.0,764.9949,1375.0,1375.0,764.9949,1375.0,1375.0,764.9949,1375.0,1375.0,1375.0
600.9324,1202.999,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,1377.898
602.9486,1206.905,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,602.9486,1382.938,1382.938,767.8931,1382.938,1382.938,767.8931,1382.938,1382.938,767.8931,1382.938,1382.938,1382.938
