РВСВ_0,РВСВ_1,РВСВ_2,РВСВ_3,РВСН_0,РВСН_1,РВСН_2,РВСН_3,РВЛВ_0,РВЛВ_1,РВЛВ_2,РВЛВ_3,РВЛВ_4,РВЛВ_5,РВЛВ_6,РВЛВ_7,РВЛВ_8,РВЛВ_9,РВЛВ_10,РВЛВ_12,РВЛВ_13,РВЛН_0,РВЛН_1,РВЛН_2,РВЛН_3,РВЛН_4,РВЛН_5,РВЛН_6,РВЛН_7,РВЛН_8,РВЛН_9,РВЛН_10,РВЛН_11,РВЛН_12,РВЛН_13,РВЛН_14
0.0,545.9929,0.0,545.9929,0.0,1091.986,0.0,1091.986,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,0.0,535.9123,535.9123,535.9123,535.9123,1121.976,1121.976,625.8821,1121.976,1121.976,625.8821,1121.976,1121.976,625.8821,1121.976,1121.976,625.8821,1121.976,1121.976,0.0
0.0,550.9072,0.0,550.9072,0.0,1101.941,0.0,1101.941,540.9526,540.9526,0.0,540.9526,540.9526,0.0,540.9526,540.9526,0.0,540.9526,540.9526,540.9526,540.9526,1101.941,1101.941,600.9324,1101.941,1101.941,600.9324,1101.941,1101.941,600.9324,1101.941,1101.941,600.9324,1101.941,1101.941,0.0
0.0,551.9153,0.0,551.9153,0.0,1103.957,0.0,1103.957,531.8801,531.8801,0.0,531.8801,531.8801,0.0,531.8801,531.8801,0.0,531.8801,531.8801,531.8801,531.8801,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,0.0
0.0,551.9153,0.0,551.9153,0.0,1103.957,0.0,1103.957,500.882,500.882,0.0,500.882,500.882,0.0,500.882,500.882,0.0,500.882,500.882,500.882,500.882,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,600.9324,1103.957,1103.957,0.0
0.0,551.9153,0.0,551.9153,0.0,1104.965,0.0,1104.965,501.8901,501.8901,0.0,501.8901,501.8901,0.0,501.8901,501.8901,0.0,501.8901,501.8901,501.8901,501.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,626.8901,1129.914,1129.914,0.0
0.0,552.9234,0.0,552.9234,0.0,1106.981,0.0,1106.981,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,502.8982,502.8982,1131.93,1131.93,627.8982,1131.93,1131.93,627.8982,1131.93,1131.93,627.8982,1131.93,1131.93,627.8982,1131.93,1131.93,0.0
0.0,553.9315,0.0,553.9315,0.0,1107.989,0.0,1107.989,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,0.0,502.8982,502.8982,502.8982,502.8982,1132.938,1132.938,627.8982,1132.938,1132.938,627.8982,1132.938,1132.938,627.8982,1132.938,1132.938,627.8982,1132.938,1132.938,0.0
0.0,599.9244,0.0,599.9244,0.0,1199.975,0.0,1199.975,599.9244,599.9244,0.0,599.9244,599.9244,0.0,599.9244,599.9244,0.0,599.9244,599.9244,599.9244,599.9244,1375.0,1375.0,764.9949,1375.0,1375.0,764.9949,1375.0,1375.0,764.9949,1375.0,1375.0,764.9949,1375.0,1375.0,0.0
0.0,600.9324,0.0,600.9324,0.0,1202.999,0.0,1202.999,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,600.9324,600.9324,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,765.877,1377.898,1377.898,0.0
0.0,602.9486,0.0,602.9486,0.0,1206.905,0.0,1206.905,602.9486,602.9486,0.0,602.9486,602.9486,0.0,602.9486,602.9486,0.0,602.9486,602.9486,602.9486,602.9486,1382.938,1382.938,767.8931,1382.938,1382.938,767.8931,1382.938,1382.938,767.8931,1382.938,1382.938,767.8931,1382.938,1382.938,0.0
0.0,603.9567,0.0,603.9567,0.0,1208.921,0.0,1208.921,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,603.9567,603.9567,1385.963,1385.963,768.9012,1385.963,1385.963,768.9012,1385.963,1385.963,768.9012,1385.963,1385.963,768.9012,1385.963,1385.963,0.0
0.0,603.9567,0.0,603.9567,0.0,1208.921,0.0,1208.921,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,603.9567,603.9567,1384.955,1384.955,768.9012,1384.955,1384.955,768.9012,1384.955,1384.955,768.9012,1384.955,1384.955,768.9012,1384.955,1384.955,0.0
0.0,603.9567,0.0,603.9567,0.0,1207.913,0.0,1207.913,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,0.0,603.9567,603.9567,603.9567,603.9567,1383.947,1383.947,767.8931,1383.947,1383.947,767.8931,1383.947,1383.947,767.8931,1383.947,1383.947,767.8931,1383.947,1383.947,0.0
0.0,600.9324,0.0,600.9324,0.0,1202.999,0.0,1202.999,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,600.9324,600.9324,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,0.0
0.0,600.9324,0.0,600.9324,0.0,1202.999,0.0,1202.999,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,0.0,600.9324,600.9324,600.9324,600.9324,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,765.877,1378.906,1378.906,0.0
